sfdr fdr k th h2 pnc pc nc i j maf_l maf_u
0.838391879789034 0.838664812239221 all 0.8 0.2 0.2 0.2 5000 1 10 0.01 0.05
0.864807121661721 0.865079365079365 all 0.9 0.2 0.2 0.2 5000 1 10 0.01 0.05
0.692295214922952 0.692207792207792 all 0 0.2 0.2 0.2 5000 1 5 0.01 0.05
0.732703862660944 0.732646048109966 all 0.2 0.2 0.2 0.2 5000 1 5 0.01 0.05
0.757006030507272 0.756967867921179 all 0.4 0.2 0.2 0.2 5000 1 5 0.01 0.05
0.780255941499086 0.780237877401647 all 0.6 0.2 0.2 0.2 5000 1 5 0.01 0.05
0.789493155752867 0.789483428994631 all 0.8 0.2 0.2 0.2 5000 1 5 0.01 0.05
0.813495782567948 0.813555347091932 all 0.9 0.2 0.2 0.2 5000 1 5 0.01 0.05
0.82680156762377 0.826628849918108 all 0 0.2 0.2 0.2 5000 1 2 0.01 0.05
0.864628638340582 0.86436925647452 all 0.2 0.2 0.2 0.2 5000 1 2 0.01 0.05
0.883169585647159 0.882882498506699 all 0.4 0.2 0.2 0.2 5000 1 2 0.01 0.05
0.899617091636933 0.899343735060194 all 0.6 0.2 0.2 0.2 5000 1 2 0.01 0.05
0.90675847550546 0.906474504993867 all 0.8 0.2 0.2 0.2 5000 1 2 0.01 0.05
0.928512696493349 0.928526554873629 all 0.9 0.2 0.2 0.2 5000 1 2 0.01 0.05
0.757282415630551 0.757236725270822 all 0 0.2 0.2 0.2 5000 1 9 0.01 0.05
0.80125916181169 0.801277835196843 all 0.2 0.2 0.2 0.2 5000 1 9 0.01 0.05
0.825859564164649 0.825876428433082 all 0.4 0.2 0.2 0.2 5000 1 9 0.01 0.05
0.845345494200456 0.845360824742268 all 0.6 0.2 0.2 0.2 5000 1 9 0.01 0.05
0.856640546513964 0.856654947262682 all 0.8 0.2 0.2 0.2 5000 1 9 0.01 0.05
0.881200891286502 0.881214821763602 all 0.9 0.2 0.2 0.2 5000 1 9 0.01 0.05
1 1 all 0 0.2 0.5 0.2 100 1 7 0.01 0.05
1 1 all 0.2 0.2 0.5 0.2 100 1 7 0.01 0.05
1 1 all 0.4 0.2 0.5 0.2 100 1 7 0.01 0.05
